Repeticao,Parcela,Velocidade(KM/h),DS(cm),Classificação
3,39,1.08,8.79,Aceitável
3,40,1.08,9.19,Aceitável
3,41,1.08,3.45,Duplo
3,42,1.08,8.90,Aceitável
3,43,1.08,8.04,Aceitável
3,44,1.08,3.79,Duplo
3,45,1.08,6.36,Aceitável
3,46,1.08,5.90,Aceitável
3,47,1.08,5.46,Aceitável
3,48,1.08,4.93,Aceitável
3,49,1.08,4.96,Aceitável
3,50,1.08,9.10,Aceitável
3,51,1.08,9.62,Aceitável
3,52,1.08,4.71,Aceitável
3,53,1.08,4.02,Duplo
3,54,1.08,3.62,Duplo
3,55,1.08,5.83,Aceitável
3,56,1.08,4.85,Aceitável
3,57,1.08,4.51,Aceitável
3,58,1.08,9.52,Aceitável
3,59,1.08,4.05,Duplo
3,60,1.08,2.97,Duplo
3,61,1.08,5.90,Aceitável
3,62,1.08,4.33,Duplo
3,63,1.08,9.62,Aceitável
3,64,1.08,5.81,Aceitável
3,65,1.08,6.12,Aceitável
3,66,1.08,13.09,Aceitável
3,67,1.08,6.16,Aceitável
3,68,1.08,11.47,Aceitável
3,69,1.08,11.04,Aceitável
3,70,1.08,11.83,Aceitável
3,71,1.08,1.54,Duplo
3,72,1.08,13.15,Aceitável
3,73,1.08,11.91,Aceitável
3,74,1.08,2.63,Duplo
3,75,1.08,12.76,Aceitável
3,76,1.08,6.78,Aceitável
3,77,1.08,1.50,Duplo
3,78,1.08,11.39,Aceitável
3,79,1.08,10.22,Aceitável
3,80,1.08,4.00,Duplo
3,81,1.08,3.61,Duplo
3,82,1.08,1.70,Duplo
3,83,1.08,3.70,Duplo
3,84,1.08,4.59,Aceitável
3,85,1.08,8.01,Aceitável
3,86,1.08,3.67,Duplo
3,87,1.08,8.66,Aceitável
3,88,1.08,8.00,Aceitável
3,89,1.08,8.75,Aceitável
3,90,1.08,7.66,Aceitável
3,91,1.08,9.40,Aceitável
3,92,1.08,4.99,Aceitável
3,93,1.08,4.80,Aceitável
3,94,1.08,8.44,Aceitável
3,95,1.08,8.37,Aceitável
3,96,1.08,2.43,Duplo
3,97,1.08,7.33,Aceitável
3,98,1.08,4.27,Duplo
3,99,1.08,4.49,Duplo
3,100,1.08,5.63,Aceitável
3,101,1.08,1.68,Duplo
3,102,1.08,8.51,Aceitável
3,103,1.08,3.51,Duplo
3,104,1.08,3.54,Duplo
3,105,1.08,6.62,Aceitável
3,106,1.08,6.54,Aceitável
3,107,1.08,6.05,Aceitável
3,108,1.08,5.62,Aceitável
3,109,1.08,6.94,Aceitável
3,110,1.08,8.58,Aceitável
3,111,1.08,9.02,Aceitável
3,112,1.08,5.08,Aceitável
3,113,1.08,4.74,Aceitável
3,114,1.08,4.52,Aceitável
3,115,1.08,3.97,Duplo
3,116,1.08,4.05,Duplo
3,117,1.08,8.21,Aceitável
3,118,1.08,8.30,Aceitável
3,119,1.08,5.69,Aceitável
3,120,1.08,6.25,Aceitável
4,1,1.08,9.39,Aceitável
4,2,1.08,8.22,Aceitável
4,3,1.08,6.93,Aceitável
4,4,1.08,10.49,Aceitável
4,5,1.08,3.21,Duplo
4,6,1.08,9.74,Aceitável
4,7,1.08,2.07,Duplo
4,8,1.08,6.57,Aceitável
4,9,1.08,3.97,Duplo
4,10,1.08,8.63,Aceitável
4,11,1.08,9.36,Aceitável
4,12,1.08,5.66,Aceitável
4,13,1.08,3.30,Duplo
4,14,1.08,11.12,Aceitável
4,15,1.08,6.73,Aceitável
4,16,1.08,4.63,Aceitável
4,17,1.08,9.16,Aceitável
4,18,1.08,3.04,Duplo
4,19,1.08,11.59,Aceitável
4,20,1.08,6.24,Aceitável
4,21,1.08,2.11,Duplo
4,22,1.08,5.81,Aceitável
4,23,1.08,7.34,Aceitável
4,24,1.08,7.92,Aceitável
4,25,1.08,6.25,Aceitável
4,26,1.08,1.64,Duplo
4,27,1.08,5.19,Aceitável
4,28,1.08,5.64,Aceitável
4,29,1.08,5.66,Aceitável
4,30,1.08,6.84,Aceitável
4,31,1.08,11.48,Aceitável
4,32,1.08,7.43,Aceitável
4,33,1.08,8.79,Aceitável
4,34,1.08,8.71,Aceitável
4,35,1.08,5.30,Aceitável
4,36,1.08,2.06,Duplo
4,37,1.08,2.80,Duplo
4,38,1.08,5.82,Aceitável
4,39,1.08,2.70,Duplo
4,40,1.08,9.40,Aceitável
4,41,1.08,1.73,Duplo
4,42,1.08,2.49,Duplo
4,43,1.08,5.47,Aceitável
4,44,1.08,2.48,Duplo
4,45,1.08,9.41,Aceitável
4,46,1.08,10.39,Aceitável
4,47,1.08,9.39,Aceitável
4,48,1.08,4.59,Aceitável
4,49,1.08,11.53,Aceitável
4,50,1.08,5.98,Aceitável
4,51,1.08,2.63,Duplo
4,52,1.08,4.65,Aceitável
4,53,1.08,6.20,Aceitável
4,54,1.08,7.54,Aceitável
4,55,1.08,11.26,Aceitável
4,56,1.08,11.59,Aceitável
